Grade,Name,Portrait,Class/Element/Tree,Obtain From,Acquire Bonus,"Leader Skill
(Demigod Only)",Basic Attack,Skill 1,Skill 2,Skill 3,Awaken Skill,Rank Unlock Effect,,,,,,,,Tierlist,,,,,,Required Mats for Max Rank
,,,,,,,,,Unlock at Rank 4,Unlock at Rank 7,,2,3,4,5,6,7,8,9,Damage,Survival,Offensive Support,Defensive Support,Utility,Overall,
,,,,,,,,,,,,,,,,,,,,"How good damage this fellow
Dealt?",How good they survive attacks,"How good they provide
Benefical buff to make you hit harder?","How good they provide
Benefical buff to make you die harder?",How versatile they go ? Specialist to any content or good on all contents ?,,
"Demigod
UR",Inferno Zaura,,"Demigod
(Dark)
-----
Demigod","Gacha
(Demigod Banner)",Penetration +22,"Darkest Blaze
Fire and Dark element fellows (Except Demigod grade) ignore defense +1.25% x rank","100% dmg
Base stat increase : HP +60% , Def +50% , Atk +25%
","Sunder Flare
CD 15s
Smash axe to the ground and cause flame ground in landing area for 5s. Dealing 141% every 0.5s
Reduce damage taken by 50% while using the skill","Chariot of Fire
CD 12s
Jump to the air and rotate swiftly with axe attack. Dealing 413% damage every 0.25s
Then landing attack smash the ground dealing same damage with larger AoE.
Reduce damage taken by 50% while using the skill","Whirlwind of Flame
CD 20s
Quickly spin with axe causing flame whirlwind. Dealing 201% damage every 0.5s continuously to enemy inside the area.
Reduce damage taken by 50% while using the skill","Warcry Explosion
[Unlock at Rank 1]
CD 120s
Unleash the anger around yourself. Dealing 740% damage and cause this fellow to enter 'Awakening' state for 30s
[Awakening]
Knockback immune , Attack speed +50% . Basic attack damage +300%, skill attack damage +200%","Overheat
When got hit, cause an explosion dealing 734% damage around yourself (+66% per rank ,+134% additional at Rank 9)
(CD 30s)
Also grant herself 15s buff that increase block rate by 75%
","Chaos Quake
Using Sunder Flare will cause many fire pillar to erupt around yourself. Deal 3 hit for total of 196%(+17% per rank , +49% additional at rank 9) damage","The Huntress
Damage increase +10% and Boss damage increase +1.5% (+0.5% per rank)
Every 10s, grant Swordman and Scout fellow a 'Huntress' buff. Which increase crit rate and crit damage by 10% for 10s","Chaos Rush
Spawn 5 fireballs when using Chariot of Fire that fly to random enemy. Each dealing 225%(+20% per rank, +96% at rank 9) damage","Inferno Berserker
All skill attack deal additional hit equal to 29%(+2% per rank, +7% at rank 9) dark damage. This damage increase further by how much HP is lost. Up to 99%
After using skill, grant all fellow and player 'Inferno Berserker' buff for 5s. 
[Inferno Berserker]
For Player : Imbue weapon with Fire and Dark element. Increase skill damage by 30%. Increase damage to Holy  & Earth type enemy by additional 20%
Fire & Dark element fellows : Increase damage by 50%","Chaos Wave
After finish attack with Whirlwind of Flame, slash the axe create flame shockwave forward. Dealing 383%(+32% per rank, +96% at rank 9) damage every 0.25s
------------
+1 Acc Slot","---------------
+1 Acc Slot","Alternate costume unlocked.
Upgrade all skill damage
----------
+1 Acc Slot",B,S,A,C,B,"A

Not her reigning era anymore. But still good frontline for PVP and good 50% dmg amp vs Earth and Holy monster with imbue effect to ease on gearing","2240 Zaura Particle + 5 Zaura Memory Orb
or
700 Demigod Orb + 5 Zaura Memory Orb"
,Little Star Candy Vakarine,,"Demigod
(Ice)
-----
Demigod","Gacha
(Demigod Banner)",Defense +84,"Star Point
Every time Ice element fellows (Except this unit) using skill, grant 'Star Point' equal to half of that fellow's rank. (Max 100 stacks)
'Star Point' will be reduced 1 stack every second and heal player for 2% HP and 1% SP
When stack reach maximum, grant 15s buff to player and all fellows that increase damage by 7.5% (Except Demigod Fellow)
You cannot stack 'Star Point' while this buff is active.","100% dmg
Base Stat Increase: HP +60%, Defense +50%, Atk +25%","Help Me! Dionys!
CD 15s
Attack target area with Dionys's doll. Deal 3 hits for total of 1676%","Sugar Crystal
CD 20s
Summon Sugar Crystal that shoot crystal missile every 2s. Up to 6 times.
Each crystal missile dealing 165% damage and cause 'sticky' on hit for 3s
[Sticky]
Movement speed -10% , Atk -2%. Both effect can be stackable
Atk down only damage that apply to player and your fellows.","Star Circle 
CD 15s
Summon star magic circle at enemy position. Dealing 1117% damage and 'Stun' enemy.
After that, magic circle persist for 10s. Dealing 223% damage per second to enemy inside area.
Also grant player and fellow 15% attack speed & movement speed buff in that area","Fantastic Show
[Unlock at Rank 1]
CD 120s
'Stun' all enemies around you and enter 'Awakening' state for 30s
Emit dance floor around her for 10s. Dealing 511% damage every 2s. Which reduce Hit Rate and Penetration Rate of enemy hit by 10% for 3s.
[Awakening]
Skill damage & DoT damage increase by 200%. Recover 7.5% HP every 5 second.","Lodestar
Doll fell from Help Me! Dionys! will persist in that area for 10s. Dealing 73% (+24% at Rank 9) per second to enemies around it
[Max 121%]","Joyful Kid
Max HP +10%
All damage from this unit has 35% chance to 'Crystalize' enemy. Dealing 87% Ice damage per second for 5s. 
After 'Crystailize' duration expires, has 22% (+2% per rank) chance to 'Freeze' enemy.
Cannot Crystalize enemy that already be crystalized.","Super Star Point
Using Sugar Crystal will grant 'Star Point' too.
While Sugar Crystal persists, every Star Point reduction will cause crystal to shoot extra missile. Dealing 66%(+6% per rank, +22% at Rank 9) damage.
If this missile cannot target enemy in 7-8m range. Heal 5% HP instead.","Cheerleading
Grant 37.5s (+2.5s per rank) buff to owner and all fellow after using Fantastic Show
- Demigod & Fire unit : Increase damage by 10%
- Owner and other fellows except yourself : Increase damage by 50%","Asteroid
Increase number of crystal missile per 'Sugar Crystal' casting by 1 (+1 per rank)
Also reduce interval time per crystal missile fire by 1s.
While  Sugar Crystal persists, grant player buff reduce damage received by 6.5% (+1.5% per rank)","Sticky Feet
Star Circle also slow enemy inside the area by 25%
All Ice fellows attack has 5% (+2% per rank) chance to 'sticky' enemy for 3s.
---------------
+1 Acc Slot","---------------
+1 Acc Slot","Alternate costume unlocked.
Upgrade all skill damage
----------
+1 Acc Slot",A,S,A,A,S,"S

Jack of all trade that can healing, AoE for leveling alts and good buff, but low downtime compare to new character joining in roster.
Still usable and comfy pick by many players","2240 Vakarine Particle + 5 Vakarine Memory Orb
or
700 Demigod Orb + 5 Vakarine Memory Orb"
,Revenger Hauberk,,"Demigod
(Earth)
-----
Demigod","Gacha
(Demigod Banner)",Crit Rate +22,"Soul Fragment
Increase attack to all fellows in the team (Except Demigod Fellow) by 0.85% x Rank of this unit
When another fellow become incarpacitated, Absorb 100% of that fellow HP to heal itself and become 'Revenge' status for 45s. Increase self attack power by 50%. (Trigger this passive again will refresh this duration)","Swipe with both claws. Dealing 75% x2 damage
Base Stat Increase: HP +60%, Defense +50%, Atk +25%","Lionheart
CD: 10s
Attack frontal area
Strike ground with the fist. Deal 3 hit for total of 1706% damage and gather enemy to the center of attack area.
The higher of attack speed, the higher of cast speed of this skill as well.","Scratch
CD: 10s
Attack frontal area
Swipe forward with both claws. Dealing 436% x 2 damage. Then finish attack with shockwave forward dealing 872% damage.
The higher of attack speed, the higher of cast speed of this skill as well.","Venge of Souls
CD: 20s
Barrage mercilessly with claws. Dealing 427% x 7 damage.
The higher of attack speed, the higher of cast speed of this skill as well.","Trauma Switch
[Unlock at Rank 1]
CD 120s
Switch your form to dark form. Enter 'Awakening' state for 30s. During this state will emit dark aura around self. Dealing 410% damage per second.
[Awakening]
All damage increase by 75%
Basic attack has 35% chance to create additional shockwave. ","Stone Crack
Basic attack has 2% chance (per rank) to 'Petrify' enemy and set your evasion rate to 100% for 5s.
Critical strike to enemy in 'Petrify' status heal 25% of lost HP.
","Rapid Arousal
When taking lethal damage, survive for 1.8 (+0.4 per rank). more seconds and provoke nearby enemy (Still incapacitated after duration is over). 
Using any attack skill create 5 explosion waves. Each dealing 77% (+7% per rank, +25% at Rank 9) damage.","Hyperlink
Every 60s, grant 45s 'Hyperlink' to player and self.
[Hyperlink]
Self Increase Critical rate by 10% of player's critical rate
Everytime this unit is healed through skill or talent, increase critical rate and heal SP to player by the same percent amount.","Branded
Increase attack and defense that increase from Goddess basic attack passive by 5% each.
While in awakening from Trauma Switch, grant yourself 35% attack speed and heal 1%(+1% per rank) of all damage dealt.","Spiral
Every 10s, grant 10s buff to fellows in the team depend on class tree;
Cleric Tree : +50% healing power , using any skill heal this unit and all Scout class tree fellows  15% of healing power
Scout Tree : +10% critical damage , Critical attack with skill decrease this unit and Cleric class tree fellow's cooldown by 0.2s
","Clustering
Reduce damage taken by 20%. Grant stacks everytime this unit using skill. When reaching 50 stacks, all stack will be used to grant this unit and player 'Clustering' buff for 30s.
[Clustering]
Player : Increase critical damage by 50%
This unit : Increase crit rate by 50%. Reduce damage taken by additional 30%
Stack is not accumulate while this buff is active.
[Stack gain]
Lionheart : 4 stack
Scratch : 4 stack
Venge of Souls : 12 stack
---------------
+1 Acc Slot","---------------
+1 Acc Slot","Alternate costume unlocked.
Upgrade all skill damage
----------
+1 Acc Slot",S,C,A,B,C,"A

Only his good is HP/SP regen from rank 5 and he still has his caveats from dying too much.

Only Cleric Class can substain him enough","2240 Hauberk Particle + 5 Hauberk Memory Orb
or
700 Demigod Orb + 5 Hauberk Memory Orb"
,Champion Gabija,,"Demigod
(Fire)
-----
Demigod","Gacha
(Demigod Banner)","Block
+22","Immortality
Fire and Holy element fellows (except Demigod fellows) reduce damage received by 2% x this character's rank.
This effect is not activate when this unit is incapacitated.
Also grant this unit +5% block rate per unit that receive this buff. Maximum 25% increase","Random use between one of this 3 moves:
High Kick : 80% damage, 50% chance to 'stun'
Back Kick : 110% damage
Low Kick : 90% damage, inflict 8s debuff that reduce block rate by 20% and increase damage received by 10%
Base Stat Increase: HP +60%, Defense +50%, Atk +25%","Flame Knee Kick
CD 15s
Stomp ground to take a leap to an enemy and attack with knee kick.
Dealing 1778% Fire AoE damage.
25% chance to 'stumble' enermy
The higher of attack speed, the higher of cast speed of this skill as well.","Pummel Kick
CD 15s
Rapidly kick forward. Dealing 247% damage x 10 times
The higher of attack speed, the higher of cast speed of this skill as well.
[Additional Effect]
Using this skill while awakened has a chance to use extra time immediately regardless of cooldown","Flame Wheelwind Kick
CD 15s
Spin around while kicking all enemies around this unit. Deal 5 hits for total of 1117% damage
Then create a phoenix fly forward. Dealing 558% damage every 0.5s
The higher of attack speed, the higher of cast speed of this skill as well.
[Additional Effect]
Enemy hit by the phoenix are 'Burn' for 10s. Taking 279% damage per second, and increase damage received by 15%","Faceoff
[Unlock at Rank 1]
CD 120s
Gather fire energy to the foot then stomp the ground. Dealing 874% damage and enter 'Awakening' state for 30s. Also create 'Faceoff' area at yourself.
[Awakening]
Increase damage by 150%
While inside Faceoff area. increase Max HP of this unit and master by 70% (no healing from increasing hp) and attack power by 30%
also heal 200% of block value of this unit every 2s","Art of Cloud
Using Flame Knee kick will emit mist area around target for 5s. This unit inside mist area cannot be targeted, and increase block and evasion rate by 3%(+3% per rank)
When reaching Rank 9, master also get benefit from mist area","Elixir
When master using HP Potion, grant 10s buff to master and this unit. Reduce damage taken by 30%
(Cooldown 60s)
When reaching Rank 9 while Elixir buff is active, damage received per 1 hit will not be excess 5% of Max HP","Art of Stone
Increase HP and defense that increase from Goddess basic attack passive by 10% each
Reduce damage from blocking +5%
When attacked by enemy, increase threat rate to this unit by that damage amount.","Hot Pursuit
Every 10s, grant 10s buff that increase attack speed by 25% to 1(+1 per rank) nearby fellow(s)
When reaching rank 9, she also got this effect.","Art of Moon
Succesfully blocking enemy's attack increase self attack by 6%(+6% per rank) of block value for 3s.
blocking while buff is active refresh it duration.
When reaching rank 9, double this buff duration.","Flow like Water
Activate combo bonus every 2nd basic attack. Depend on which combination:
High Kick + High Kick = Powerful Kick
Back Kick + Back Kick = Powerful Back Kick
Low Kick + Low Kick = Powerful Stun Blow
Back Kick + High Kick or Low Kick + High Kick = Buff stun chance +1% every attack
High Kick + Back Kick or Low Kick + Back Kick = Buff block rate +4%
High Kick + Low Kick or Back Kick + Low Kick = Buff Attack Speed +5%
All buffs maximum 10 stacks, 20s duration
---------------
+1 Acc Slot","---------------
+1 Acc Slot","Alternate costume unlocked.
Upgrade all skill damage
----------
+1 Acc Slot",C,S,A,S,B,"A

Her awakening is very strong despite of it is area effect. Make her useful even at 1 star.

Not good as others for damage boost. But great pick for newbies that love to play DPS classes that lack on survival like Archer , Scout and Musketeer","2240 Gabija Particle + 5 Gabija Memory Orb
or
700 Demigod Orb + 5 Gabija Memory Orb"
,"Gumiho
Lada",,"Demigod
(Lightning)
-----
Demigod","Gacha
(Demigod Banner)","Block
+22","Allure of Gumiho
Grant 'Tail Blessing' to all Lightning and Multi-element fellows (except Demigod Fellows). While this blessing is active, fellow with this blessing lose 5% HP every 5s then heal to master by the combine amount of HP loss. Also reduce damage taken from Ice-element enemy by 35% and increase Lightning damage (except DoT) by 9% x this character's rank.
All attack from this fellow and all of fellows blessed by her grant 1 'Spark' stack to enemy hit
","100% damage
All attacks have 11% (+8% per rank, Maximum 75% at rank 9) chance to grand herself 1 'Absorption' Stack. When reaching 15 stacks, all stacks are reset and grant 30s buff to Master.
- Imbue attack with Lightning Element
- Increase damage done to enemy by 40%
(This unit cannot get 'Absorption' stack while this buff is active)
Base Stat Increase: HP +60%, Defense +50%, Atk +25%","Spark Burst
CD 15s
Emit high current electric burst around yourself. Deal 5 hits for total of 896% damage. This attack grant 1-3 stacks of 'Spark' to each enemy hit for 20s
[Spark]
Deal 106% Lightning DoT. Stack up to 20 stacks. From stack 2 and higher increase this damage by 5%","Charm
CD 60s
Charm all enemies in frontal area. If success, 'Charmed' enemy cannot doing anything for 2s, then decrease movement speed by 25% and attack speed by 80% for 5s.
[Additional Effect]
Lada immune to all atack while using this skill. And grant 10s buff afterward to herself that immune to knockback, and reduce damage taken by 25%","Soul Eater
CD 15s
Attack all enemy in 1m radius. Dealing 938% damage. Grant herself 3 stacks of 'Absorbtion' per enemy hit.
Also cause enemy hit with 'Lethargy' state for 10s","Night of Temptation
[Unlock at Rank 1]
CD 120s
Enter 'Awakening' state for 30s and increase debuff duration of all enemy surround her by 100%
[Awakening]
Increase debuff duration inflicted to enemy by 100%
Grant 'Night Parade' buff to all fellows (except demigod fellows) increase non DoT damage by 20%. All Attack has 30% chance to inflict 1 'Spark' to enemy hit.
(For fellow with 'Tail Blessing' buff. This buff will coexist with 'Tail Blessing')","Mirage
Using awakening skill inflict 60s debuff 'Mirage'' to all surrounding enemy. (This does not increase duration from awakening skill effect)
[Mirage}
- Enemy with this debuff deal 10% less damage to Master of this unit and all of his fellows
- Reduce crit rate by 23% (+3% per rank)","Thunderous Night
Every 60s, grant 20s buff 'Thunderous Might' to all Lightning and Multi-Element fellows (including herself)
[Thunderous Might]
- All attack ignore 5% def, and inflict additional fixed damage by the same percentage amount.
- For normal fellows: Increase damage by 52% (+6% per rank)
- For demigod fellows : Increase damage by 13% (+1.5% per rank)","Full Moon Blessing
After reaching 15 'Absorbtion' stacks, grant herself 'Full Moon Blessing' buff for 10s.
[Full Moon Blessing]
- Emit Lightning Static field around herself. Dealing 57% damage every 0.5s (+5% per rank, +14% additionally at Rank 9).
- All attack received while this buff is active has 10% chance to be negated.
- (Rank 9 Bonus) After Full Moon Blessing is over, gain 3 'Absorbtion' stacks","Ecstasy
When her taking Lethal damage, prevent damage once then using Charm skill immediately regardless of cooldown. Also recover 15% of Max HP (60s CD)","Lunar Eclipse
Increase Maximum HP by 20%
Also allow this unit to stack 'Absorbtion' stack even while buff is active.","Charming Spark
'Spark' DoT to 'Charmed' enemy deal additional 3.5-9% of this unit's current HP (+10.5% per rank)
(Half damage in PvP, only Spark inflict by this unit is counted)
---------------
+1 Acc Slot","---------------
+1 Acc Slot","Alternate costume unlocked.
Upgrade all skill damage
----------
+1 Acc Slot",B,A,S,B,S,"S

Must-pick for Wizard class. Her Rank 7 skill provide Lethargy status effect which combo nicely with Earthquake.
Still useful around with AoE CC, hard to kill with extra life from Rank 5 effect and nearly permanent 40% dmg amp","2240 Lada Particle + 5 Lada Memory Orb
or
700 Demigod Orb + 5 Lada Memory Orb"
,Holy Knight Arlene,,"Demigod
(Holy)
-----
Demigod","Gacha
(Demigod Banner)",Attack +56,"Subduer
Grant buff to herself and all other fellows (Except Demigod fellow) that reduce damage taken from Boss and Demigod character by 25%. This bonus reduce by 5% per another Demigod fellow in the team.
When fighting Boss or Demigod Character, also grant following bonus effect base on fellow's tree:
Swordman / Cleric : Increase block rate by 5% x Holy Knight Rank
Wizard : Increase penetration rate by 5% x Holy Knight Rank
Archer / Gunner : Increase hit rate by 5% x Holy Knight Rank
Scout : Increase evasion rate by 5% x Holy Knight Rank","100% dmg
Base Stat Increase: HP +60%, Defense +50%, Atk +25%","Divine Touch
CD 15s
Emit cleansing light around you. Dealing 913% damage. And nullify all debuffs from all allies.
Grant herself 'Holy Knight' stacks by the number of ally affected by this skill.
[Holy Knight]
Permanent buff. Reduce damage taken from Boss and Demigod character by 1% per stack.
Maximum 45 stacks","Purify Soul
CD 20s
Emit purify aura that rapidly expanding by 20% everytime it attack. Dealing 284% x 5 damage.
Grant herself 'Purifier' stacks
[Purifier]
Permanent buff. Increase natural HP recovery by 0.15% of Max HP per stack. Maximum 45 stacks 
(Normal Natural HP recovery is 3% Max HP every 3s)

[Purifier stack gain condition]
Hit boss : Gain 2 stacks
Hit Demigod Character : Gain 1 stacks
Other enemy : 10% chance per hit to gain 1 stacks","Verdict
CD 15s
Randomly attack enemies in range 6 times (target boss or demigod character first if possible). Each hit dealing 286% damage. Grant herself 5 'Slayer' stacks
[Slayer]
Permanent buff. Increase damage to Boss and Demigod character 4% per stack. Maximum 45 stacks.","Trinity
[Unlock at Rank 1]
CD 120s
Enter 'Awakening' state for 30s. And grant 5 stacks of 'Holy Knight' , 'Purifier' and 'Slayer'

[Awakening]
Knockback Immune
All attack deal additional damage equal to 1.5% of enemy's Maximum HP (This damage by Max HP is capped at 20% of This Unit's attack power)
When attacked by boss or demigod character, reduce this skill cooldown by 10s","Illumination
Reduce damage taken from boss and demigod character additionally by 20%","Holy Shock
When using Trinity, grant 'Holy Shock' to owner and all of his fellows for 30s.
[Holy Shock]
When attack boss or demigod character, deal additional 3% (+0.75% per rank) Holy damage. (Except DoT)
Arlene's Basic attack while awakening will lauch Holy Shockwave. Dealing 168% (+15% per rank , +38% additionally at Rank 9) damage.","Divine Favor
Increase Attack from base stat increase additionally 10%
When taking damage (Except DoT), deal 267% (+24% per rank, +60% additionally at rank 9) damage counter attack.
CD 3s
","Beacon
Using Divine Touch while having 5 or more 'Holy Knigh' stacks  grant herself, owner and all of his fellows 'Holy Knight - Beacon' buff 
[Holy Knight - Beacon]
Duration 1.5 - 3s depend on block stat of each character. While buff is active, all damage received is considered blocked
(Duration based on block stat of the character that receive a buff)","Purity
Using Purify Soul while having 10 or more 'Purifier' stacks grant herself and owner 'Purity' buff for 13s
[Purity]
Arlene : Heal herself and owner 1% of all damage dealt
Owner : Higher HP, higher damage buff. Maximum is +50%","Desition
Using Verdict while having 10 or more 'Slayer' stacks apply following effect to Arlene for 10s:
When attacking boss or demigod character, reduce their block and evasion by 50% and increase self critical rate by 75%.
---------------
+1 Acc Slot","---------------
+1 Acc Slot","Alternate costume unlocked.
Upgrade all skill damage
----------
+1 Acc Slot",B,SS+,S,S,S,"S+

Very useful unit that sadly get powercrept by Velcoffer.
Provide substainable heal, 50% dmg boost that is multiplicative and guarantee block which mitigate good amount of damage. But her damage is not good without rings make her steep investment","2240 Arlene Particle + 5 Arlene Memory Orb
or
700 Demigod Orb + 5 Arlene Memory Orb"
,Sweet Gothic Nebulas,,"Demigod
(Dark)
-----
Demigod","Gacha
(Demigod Banner)",Crit Resist +34,"Ghost Sharing
Grant this unit minimum of 'Gothic Ghost' and 'Ghost' buff that depend on how many normal fellows in the team.
- Gothic Ghost : number of normal fellows (Maximum 5 stacks)
- Ghost : sum of normal fellows's rank (Maximum 100 stacks)

When demigod fellow in team is incapacitated, grant a master 'Revenge' state for 10s (CD 60s)
[Revenge]
- Increase movement and attack speed by 20%. Also immune to slow 
- Endurance +20%
- Basic attack reduce all skill cooldown by 0.5s","100% dmg in AoE frontal area.
When enemy is defeat around you. Grant this unit 1 Ghost stack (Maximum 100 stacks).
When certain condition, spawn all Gothic Ghost bullet (Maximum 5) to home in and explode when touch enemy, dealing 707% damage.
Gothic Ghost can be destroy when hit 1 time (+1 per rank)
Base Stat Increase: HP +60%, Defense +50%, Atk +25%","Ghastly Ghost
CD 8s
Shoot 6 Ghastly Ghost missile to attack enemy. Each ghost dealing 312% damage.
[Additional Effect] If able, consume 0-4 Ghost stack to fire additional Ghastly Ghost missile.","Sad Ghost
CD 30s
For 30s, every 5s will spawn sadly ghost to haunt enemy. Dealing 370% damage and grant 'Nervous Struggle' debuff for 10s, increase damage received by master and all of his fellows by 15%.
[Additional Effect] Each time sadly ghost attacks, consume 0-2 Ghost stacks to increase 'Nervous Struggle' duration by 5s per stack consumed.
","Gothic Ghost
CD 15s
For 10s, Increase damage from Gothic Ghost by 50%.
[Additional Effect] If able, consume 0-5 Ghost stacks to spwan Enhanced Gothic Ghost to attack enemy with more AoE. Also grant enemy 'Gothic Ghost - Curse' for 5s. (Everytime debuffed enemy try to use skill, it take 20% damage. Count as 'Curse')","Ghost Revolution
[Unlock at Rank 1]
CD 120s
Enter 'Awakening' state for 30s.

[Awakening]
- Every 2s, spawn 1 Gothic Ghost and inflict 'Laziness' debuff to all enemy surrounding this unit for 10s. Reduce attack power, hit rate and penetration rate by 10%
- Using any skill grant 30 Ghost stacks
- Increase this unit's attack by 1% per Ghost stack it has.","A Good day
Increase Attack, Defense and HP from base stat increase additionally 5%.
Every 60s, grant master 60s buff stat increase as follows:
- HP increase : 2% (+1% per rank) of this unit's Max HP
- Atk increase : 4% (+2% per rank) of this unit's Attack Power
- Def increase : 2% (+1% per rank) of this unit's Defense
(Maximum 10%/20%/10% increase at Rank 9)
","A Clear Day
When dodging enemy's attack, 66% chance to spawn a Gothic Ghost.
When receiving damage more than 15% of Max HP, destroy 1 Gothic Ghost on field to reduce that damage by 24% (+7% per rank)","A Gloomy Day
Every time the sadly ghost inflict 'Nervous Struggle' to enemy, increase mental debuff duration on those enemy by 0.8s (2s at Rank 9)
Duration increase cannot exceed more than 30% of origin debuff duration.","A Scorching Day
Using Ghastly Ghost while on Awakening State fire additional ghost to enemy every second for 5s. Each ghost dealing 422% (+38% per rank , +84% additionally at rank 9) damage.","A Lively Day
When this unit taking lethal damage. if having Ghost stacks, instantly use all Ghost stack to recover 0.5% x Ghost stacks Max HP. Then enter 'Lively Day - Awakening' for 30. (Same as Awakening benefit, but forced to do only basic attack)","An exciting day
Using Gothic Ghost will command ghosts to rotate around master and all of their fellows for 4s. Dealing 84% (+8% per rank , +17% additionally at rank 9) damage every 0.5s. (Use this unit's attack power for ghost attacks)
---------------
+1 Acc Slot","---------------
+1 Acc Slot","Alternate costume unlocked.
Upgrade all skill damage
----------
+1 Acc Slot",SS,"C
(S After rank 6)","B-S
(Depend on Rank)",A,S,"S+

Deal a lot of damage as a range DPS character itself and provide passive 20% atk and hp boost. Which is consider very much on lategame where every attack point you have can make difference. But only consider usable after unlocking rank 6 make her steep investment

She also good as PVP unit.","2240 Nebulas Particle + 5 Nebulas Memory Orb
or
700 Demigod Orb + 5 Nebulas Memory Orb"
,Milky Way Starlight Jurate,,"Demigod
(Ice)
------
Demigod","Gacha
(Demigod Banner)",Crit Attack +17,"Milky Way
When this unit using skills, activate [Resonance Effect] on Master and all Ice-Element fellows in team (Except Demigod Fellows)","100% dmg
Base Stat Increase: HP +60%, Defense +50%, Atk +25%","Stella Nova
CD 10s
Concentrate cosmic energy to attack small area. Dealing 922% damage. Enemy at the center of the area take more damage, up to 50% increase
[Resonance Effect]
Also cause Stella Nova to attack area around each member affected. Dealing same damage","Gleaming Light
CD 10s
Condense Milky Way Galaxy to a thin line then fire forward. Dealing 942% damage.
Fire - Element enemy hit by this skill will be inflicted with 'Frostbite' debuff for 7.5s. Reduce damage by 25%
[Resonance Effect]
Also fire a beam from each member affected. Dealing same damage and debuff","Starlight Shower
CD 10s
Summon a shower of starlight to storm the area. A Large starlight will target random enemy. Attack all enemies in 3m radius dealing 2004% damage.
After that, 2 Medium starlights will follow attack with 66% radius (2m). Dealing 835% damage.
Then, 4 Small starlights attacks in 1.5m radius. Dealing 334% damage.
Finally, 8 Tiny Starlights attack in 1m radius. Dealing 167% damage.
[Resonance Effect]
Add 1 Large Starlight for each member affected.

","Storm Flood
[Unlock at Rank 1]
CD 120s
Enter 'Awakening' state for 30s.

[Awakening - Storm Flood]
- Increase attack power by 75%
- Every 5s, inflict 'Storm' debuff to 2 random enemies for 7s (Target non-debuff enemy first)
- Enemy in 'Storm' state take 86% damage every 0.5 second in 3m radius","Deneb - Calmest in Cygnus
When this unit attack, grant herself 'Crus' stacks by the number of allies in team (Max 100, cooldown 2s).
Reduce damage taken by 0.15% per stack. When stacks reach 100, maximum stack buff is grant for 10s which also additionally increase Hit Rate & Penetration rate to Fire-Element enemy by 15%. After that, all stacks reset.
When reaching rank 9, Also grant this unit and all units affect by Milky way passive 10% chance to negate attack from Fire-Element enemy.
","Betelgeuse - Guiding Star of Orion
Stella Nova explode 2 more times. Which comes bigger and bigger.
Those 2 explosions dealing 144% damage (+13% per rank , +29% additionally at rank 9).
When reaching rank 9, Fire-Element enemy hit by Stella Nova will cause small explosion around themself. Dealing 25% of Stella Nova damage in 1.5m radius. 
(Up to 10 explosions can be occured per skill use)","Vega - Shinest in Lyre
For each ally around Jurate in 2m radius. Power of Vega star shroud them. Reduce damage taken by 5% per alliy in area. (Maximum 25%)
When reaching rank 9, further reduce damage from Fire Attack and Fire-Element enemy attack by 2.5% per ally (Maximum 12.5% , become 37.5% in total)","Aldebaran - Radiance of Taurus
Increase Attack from base stat increase additionally 10% and increase Critical Rate and Hit Rate by 35%.
While in Awakening State, increase Clean Hit damage by 4% (+2% per rank)","Sirius - Leader Pack of Canis Major
When hitting enemy with Gleaming Light, additional beam emit from enemy. Dealing 298% (+27% per rank , +60% additionally at Rank 9). This beam also cause 'Frostbite'. Maximum 5 beams per cast.
When reaching rank 9, using any skills grant master and all of their fellows 'Sirius' buff for 7.5s. Imbue all of their attack with Ice element.

","Arcturus - Royal to Boothes
Using Awakening skill grant all of this buff for 40s:
Arcturus - Shepard : For master, increase damage by 0% (+4% per rank). Increase damage additionally to Fire-Element enemy by 24% (+2% perrank). For total of +24% increase (Max +72% at rank 9)
Arcturus - Bear : For fellows, grant same buff with master. With additionally reduce damage taken by 12%. Every enemy defeat increase this buff duration by 0.05s (+0.5s per rank). Maximum buff duration is 120s
---------------
+1 Acc Slot","---------------
+1 Acc Slot","Alternate costume unlocked.
Upgrade all skill damage
----------
+1 Acc Slot","A
(SS vs. Fire)","A
(S vs. fire)","A
(SS vs. Fire enemy)","A
(S vs. Fire Enemy)",B,"S-SS

God of Water is OP as heck when facing any Fire enemy, but just so-so on everything else.
She doing good damage after unlock rank 5-6 while provide mitigation from rank 4. Make her a bit versatile even not facing fire enemy","2240 Jurate Particle + 5 Jurate Memory Orb
or
700 Demigod Orb + 5 Jurate Memory Orb"
